heading,count,share,cum_share,rank
Third Level Costs,8,0.00047875523638539794,0.9257330939557148,353
Sports Events,8,0.00047875523638539794,0.9262118491921002,354
Údarás na Gaeltachta,8,0.00047875523638539794,0.9266906044284856,355
Tourist Accommodation,8,0.00047875523638539794,0.927169359664871,356
Gender Equality,8,0.00047875523638539794,0.9276481149012564,357
Ministerial Responsibilities,8,0.00047875523638539794,0.9281268701376418,358
Development Contributions,8,0.00047875523638539794,0.9286056253740272,359
Job Creation,7,0.0004189108318372232,0.9290245362058644,360
Job Losses,7,0.0004189108318372232,0.9294434470377017,361
United Nations,7,0.0004189108318372232,0.9298623578695389,362
Customs and Excise,7,0.0004189108318372232,0.9302812687013761,363
EU Regulations,7,0.0004189108318372232,0.9307001795332133,364
Fire Safety,7,0.0004189108318372232,0.9311190903650505,365
Ministerial Communications,7,0.0004189108318372232,0.9315380011968877,366
Animal Sales,7,0.0004189108318372232,0.9319569120287249,367
Departmental Investigations,7,0.0004189108318372232,0.9323758228605621,368
Disability Diagnoses,7,0.0004189108318372232,0.9327947336923993,369
Homeless Persons Supports,7,0.0004189108318372232,0.9332136445242365,370
Hospital Admissions,7,0.0004189108318372232,0.9336325553560737,371
Community Welfare Services,7,0.0004189108318372232,0.9340514661879109,372
Oideachas trí Ghaeilge,7,0.0004189108318372232,0.9344703770197481,373
Water Quality,7,0.0004189108318372232,0.9348892878515853,374
Road Tolls,7,0.0004189108318372232,0.9353081986834225,375
Airport Policy,7,0.0004189108318372232,0.9357271095152597,376
Horse Racing Industry,7,0.0004189108318372232,0.9361460203470969,377
Artists' Remuneration,7,0.0004189108318372232,0.9365649311789341,378
Immigration Status,7,0.0004189108318372232,0.9369838420107713,379
Fire Stations,7,0.0004189108318372232,0.9374027528426085,380
Agriculture Supports,7,0.0004189108318372232,0.9378216636744457,381
Regeneration Projects,7,0.0004189108318372232,0.938240574506283,382
An Teanga Gaeilge,7,0.0004189108318372232,0.9386594853381202,383
Workplace Relations Commission,7,0.0004189108318372232,0.9390783961699574,384
Shannon Airport Facilities,7,0.0004189108318372232,0.9394973070017946,385
Foreign Conflicts,6,0.0003590664272890485,0.9398563734290836,386
Irish Prisoners Abroad,6,0.0003590664272890485,0.9402154398563726,387
Overseas Development Aid,6,0.0003590664272890485,0.9405745062836616,388
Park-and-Ride Facilities,6,0.0003590664272890485,0.9409335727109506,389
Special Areas of Conservation,6,0.0003590664272890485,0.9412926391382396,390
European Union,6,0.0003590664272890485,0.9416517055655286,391
Aquaculture Industry,6,0.0003590664272890485,0.9420107719928176,392
Public Services Provision,6,0.0003590664272890485,0.9423698384201066,393
Youth Unemployment,6,0.0003590664272890485,0.9427289048473956,394
Social Welfare Code,6,0.0003590664272890485,0.9430879712746846,395
Oiliúint Múinteoirí,6,0.0003590664272890485,0.9434470377019736,396
Telecommunications Infrastructure,6,0.0003590664272890485,0.9438061041292626,397
School Equipment,6,0.0003590664272890485,0.9441651705565516,398
Hospital Investigations,6,0.0003590664272890485,0.9445242369838406,399
Coroners Service,6,0.0003590664272890485,0.9448833034111296,400
Solar Energy Guidelines,6,0.0003590664272890485,0.9452423698384186,401
Homeless Accommodation,6,0.0003590664272890485,0.9456014362657076,402
Vacant Sites,6,0.0003590664272890485,0.9459605026929966,403
Humanitarian Aid,6,0.0003590664272890485,0.9463195691202856,404
Wildlife Conservation,6,0.0003590664272890485,0.9466786355475746,405
Child Abuse,6,0.0003590664272890485,0.9470377019748636,406
Irish Human Rights and Equality Commission Issues,6,0.0003590664272890485,0.9473967684021526,407
Medical Qualifications,6,0.0003590664272890485,0.9477558348294416,408
Covid-19 Pandemic,6,0.0003590664272890485,0.9481149012567306,409
Financial Instruments,6,0.0003590664272890485,0.9484739676840196,410
Public Appointments Service,6,0.0003590664272890485,0.9488330341113086,411
Tourism Funding,5,0.0002992220227408737,0.9491322561340495,412
Employment Support Services,5,0.0002992220227408737,0.9494314781567904,413
Diplomatic Representation,5,0.0002992220227408737,0.9497307001795313,414
Environmental Schemes,5,0.0002992220227408737,0.9500299222022722,415
Transport Costs,5,0.0002992220227408737,0.9503291442250131,416
Coastal Erosion,5,0.0002992220227408737,0.950628366247754,417
Consumer Protection,5,0.0002992220227408737,0.950927588270495,418
Land Issues,5,0.0002992220227408737,0.9512268102932359,419
Adoption Services,5,0.0002992220227408737,0.9515260323159768,420
Gender Recognition,5,0.0002992220227408737,0.9518252543387177,421
Cost of Living Issues,5,0.0002992220227408737,0.9521244763614586,422
Social Welfare Offices,5,0.0002992220227408737,0.9524236983841995,423
Intelligence Sharing,5,0.0002992220227408737,0.9527229204069404,424
Swimming Pools,5,0.0002992220227408737,0.9530221424296813,425
Post Office Network,5,0.0002992220227408737,0.9533213644524222,426
Just Transition,5,0.0002992220227408737,0.9536205864751631,427
Antisocial Behaviour,5,0.0002992220227408737,0.953919808497904,428
Research Funding,5,0.0002992220227408737,0.9542190305206449,429
Oireachtas Committees,5,0.0002992220227408737,0.9545182525433858,430
National Planning Framework,5,0.0002992220227408737,0.9548174745661268,431
Closed-Circuit Television Systems,5,0.0002992220227408737,0.9551166965888677,432
Corporate Governance,5,0.0002992220227408737,0.9554159186116086,433
EU Agreements,5,0.0002992220227408737,0.9557151406343495,434
Asylum Seekers,5,0.0002992220227408737,0.9560143626570904,435
Cycling Policy,5,0.0002992220227408737,0.9563135846798313,436
Food Labelling,5,0.0002992220227408737,0.9566128067025722,437
Local Drugs Task Forces,5,0.0002992220227408737,0.9569120287253131,438
Undefined,5,0.0002992220227408737,0.957211250748054,439
Approved Housing Bodies,5,0.0002992220227408737,0.9575104727707949,440
Invasive Species Policy,5,0.0002992220227408737,0.9578096947935358,441
Community Care,5,0.0002992220227408737,0.9581089168162767,442
Military Neutrality,5,0.0002992220227408737,0.9584081388390177,443
National Risk Assessment,5,0.0002992220227408737,0.9587073608617586,444
Irish Aid,5,0.0002992220227408737,0.9590065828844995,445
Foreign Direct Investment,4,0.00023937761819269897,0.9592459605026922,446
National Minimum Wage,4,0.00023937761819269897,0.9594853381208849,447
Consumer Prices,4,0.00023937761819269897,0.9597247157390776,448
